name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
bbb.throttled.landing.pre-load.cited-by-author,general,8645,51,12,8372,9013,"11/4/2024, 3:06:47 PM","11/4/2024, 4:46:12 PM"
bbb.throttled.landing.post-load.cited-by-author,general,3036,22,12,2939,3138,"11/4/2024, 3:06:53 PM","11/4/2024, 4:46:17 PM"
bbb.throttled.landing.pre-load.title-citations,general,8500,65,11,8290,9043,"11/4/2024, 3:06:55 PM","11/4/2024, 4:46:18 PM"
bbb.throttled.landing.post-load.title-citations,general,3049,24,11,2939,3194,"11/4/2024, 3:07:00 PM","11/4/2024, 4:46:24 PM"
bbb.throttled.landing.pre-load.full-text-references,general,15271,122,11,14798,15943,"11/4/2024, 3:07:03 PM","11/4/2024, 4:46:27 PM"
bbb.throttled.landing.post-load.full-text-references,general,9808,120,11,9357,10483,"11/4/2024, 3:07:09 PM","11/4/2024, 4:46:32 PM"
bbb.throttled.landing.pre-load.affiliation-references,general,32341,77,11,31993,32763,"11/4/2024, 3:07:19 PM","11/4/2024, 4:46:42 PM"
bbb.throttled.landing.post-load.affiliation-references,general,26873,98,11,26398,27338,"11/4/2024, 3:07:25 PM","11/4/2024, 4:46:47 PM"
bbb.throttled.landing.pre-load.pub-type-citations-year,general,8840,71,11,8549,9216,"11/4/2024, 3:07:47 PM","11/4/2024, 4:47:14 PM"
bbb.throttled.landing.post-load.pub-type-citations-year,general,3117,43,11,2973,3450,"11/4/2024, 3:07:52 PM","11/4/2024, 4:47:20 PM"
bbb.normal.landing.pre-load.first-author,general,5659,350,11,4633,8902,"11/4/2024, 3:08:04 PM","11/4/2024, 4:47:28 PM"
bbb.normal.landing.post-load.first-author,general,1309,43,11,1112,1492,"11/4/2024, 3:08:07 PM","11/4/2024, 4:47:32 PM"
bbb.normal.landing.pre-load.year-range,general,5409,337,11,3192,7768,"11/4/2024, 3:08:04 PM","11/4/2024, 4:47:59 PM"
bbb.normal.landing.post-load.year-range,general,1176,43,11,988,1434,"11/4/2024, 3:08:08 PM","11/4/2024, 4:48:01 PM"
bbb.normal.landing.pre-load.title-keyword,general,5528,299,11,4639,8240,"11/4/2024, 3:08:04 PM","11/4/2024, 4:47:30 PM"
bbb.normal.landing.post-load.title-keyword,general,1183,44,11,982,1442,"11/4/2024, 3:08:08 PM","11/4/2024, 4:47:33 PM"
bbb.normal.landing.pre-load.full-text,general,5368,309,11,4294,8180,"11/4/2024, 3:08:04 PM","11/4/2024, 4:47:30 PM"
bbb.normal.landing.post-load.full-text,general,1235,54,11,1047,1577,"11/4/2024, 3:08:08 PM","11/4/2024, 4:47:33 PM"
